Abbreviated District Name,FR,Units/Special,R-5,Units/Special,R-3,Units/Special,R-1,Units/Special,RLD,Units/Special,RMD,Units/Special,RHD,Units/Special,R/O,Units/Special,HC,Units/Special,C/LI,Units/Special,LC/LI,,BS/LI,,I,,COM,,CO,,DRO,,FHO,,SRO,,APO,
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,15000 square feet/acre,Contextual,15000 square feet/acre,Contextual,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Connection to Sewer and/or Water Required,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,,,,,,,,,,,,,,,,,
Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,
Renter Occupancy Required,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,
Owner Occupancy Required,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),28,Acres Per Treatment,5,Acres Per Treatment,3,Acres Per Treatment,1,Acres Per Treatment,0.46,Acres Per Treatment,0.18,Acres Per Treatment,0.11,Acres Per Treatment,1,Acres Per Treatment,0.46,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,0.5,Acres Per Treatment,3,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Restricted to Only Primary Structure,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,
Max. ADU Size (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Max. ADU Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD Allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
