Abbreviated District Name,IND,Units/Special,COM/IND,Units/Special,COM,Units/Special,R-HD,Units/Special,R-MD,Units/Special,R-1,Units/Special,R-2,Units/Special,RR,Units/Special,SD,Units/Special,SL,Units/Special,VC/DL,Units/Special,VR-1/DL,Units/Special,VR-2/DL,Units/Special,VC/DC,Units/Special,VR/DC,Units/Special,VR-MF/DC,Units/Special,SPA,Units/Special
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,,,,,Yes,,Yes,,Yes,,Yes,,,,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Connection or Proximity to Public Transit Required,,,,,No,,No,,No,,No,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,
Max. Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,Feet,,Feet,75,Feet,35,Feet,35,Feet,35,Feet,,Feet,,Feet,,Feet,,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,N/A
Floor to Area Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,,,,,,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,,No,
Renter Occupancy Required,,,,,,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,,No,
Owner Occupancy Required,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Elderly Housing Only,,,,,,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,1: 0.11; 2&3: 0.23,Alternative,0.23,Acres Per Treatment,1,Acres Per Treatment,2,Acres Per Treatment,5,Acres Per Treatment,0.23,Acres Per Treatment,10,Acres Per Treatment,,Acres Per Treatment,1&2: 0.29; 3: 0.46,Alternative,1&2: 0.29; 3: 0.46,Alternative,1&2: 0.34; 3: 0.46,Alternative,1&2: 0.29; 3: 0.46,Alternative,0.29,Acres Per Treatment,,N/A
Minimum Parking Spaces,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A
Restricted to Only Primary Structure,,,,,,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,,No,
Max. ADU Size (%),,Percent,,Percent,,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,,N/A
Max. ADU Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,No,,No,,No,,Yes,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD Allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
