Abbreviated District Name,MF1,Units/Special,MF2,Units/Special,MF3,Units/Special,VC,Units/Special,HA,Units/Special,MF-MU1,Units/Special,MF-MU2,Units/Special,TOD,Units/Special,RO,Units/Special,OS,Units/Special,LI,Units/Special,PE,Units/Special,PA,Units/Special,FP,Units/Special,MCU,Units/Special,POO,Units/Special,NLSO,Units/Special,R1,Units/Special,R2,Units/Special,DRO,Units/Special,HRO,Units/Special
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,,No,,,,No,,,,,,,,,,No,,No,
Minimum Lot Size (acres),0.29,Acres Per Treatment,0.29,Acres Per Treatment,0.45,Acres Per Treatment,0.11,Acres Per Treatment,0.23,Acres Per Treatment,0.34,Acres Per Treatment,0.34,Acres Per Treatment,0.17,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),17.5,Units Per Acre,17.5,Units Per Acre,11.1,Units Per Acre,45.5,Units Per Acre,21.7,Units Per Acre,,N/A,15,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,14.7,Units Per Acre,,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,N/A
Front Setback (ft),30,Feet,15,Feet,30,Feet,,N/A,20,Feet,20,Feet,20,Feet,,N/A,,Feet,,Feet,,Feet,,Feet,30,Feet,,Feet,20,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Side Setback (ft),10,Feet,10,Feet,10,Feet,,N/A,10,Feet,10,Feet,10,Feet,,N/A,,Feet,,Feet,,Feet,,Feet,10,Feet,,Feet,10,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Rear Setback (ft),10,Feet,10,Feet,10,Feet,,N/A,10,Feet,10,Feet,10,Feet,,N/A,,Feet,,Feet,,Feet,,Feet,10,Feet,,Feet,10,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Frontage (ft),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,,Feet,,N/A,,Feet,,N/A,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent,,N/A,,Percent,,N/A,,Percent,,Percent,,Percent,,Percent,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),50,Percent,50,Percent,40,Percent,,N/A,65,Percent,65,Percent,65,Percent,100,Percent,,Percent,,Percent,,Percent,,Percent,30,Percent,,Percent,65,Percent,,Percent,,Percent,,Percent,,Percent,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Connection to Sewer and/or Water Required,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,Yes,,Yes,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,,No,,,,No,,,,,,,,,,No,,No,
Max. Stories,3,Stories,4,Stories,4,Stories,5,Stories,5,Stories,5,Stories,5,Stories,4,Stories,,Stories,,Stories,,Stories,,Stories,3,Stories,,Stories,4,Stories,,Stories,,Stories,,Stories,,Stories,,N/A,,N/A
Max. Height (ft),35,Feet,48,Feet,48,Feet,72,Feet,72,Feet,72,Feet,72,Feet,58,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,Feet,58,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,N/A,,Ratio,,Ratio,,Ratio,,Ratio,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,Units Per Building,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,,,No,,No,,No,,No,,No,
Renter Occupancy Required,No,,No,,No,,No,,,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,,,No,,No,,No,,No,,No,
Owner Occupancy Required,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,
Elderly Housing Only,No,,No,,No,,No,,,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),0.17,Acres Per Treatment,0.17,Acres Per Treatment,0.17,Acres Per Treatment,0.11,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,0.34,Acres Per Treatment,0.17,Acres Per Treatment,0.17,Acres Per Treatment,3,Acres Per Treatment,0.23,Acres Per Treatment,100,Acres Per Treatment,0.34,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,,Acres Per Treatment,,N/A,0.34,Acres Per Treatment,0.17,Acres Per Treatment,,N/A,,N/A
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit
Restricted to Only Primary Structure,No,,No,,No,,No,,,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,,,No,,No,,No,,No,,No,
Max. ADU Size (%),30,Percent,30,Percent,30,Percent,30,Percent,,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,,Percent,30,Percent,,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent
Max. ADU Size (sq. ft.),900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,,Square Feet,900,Square Feet,,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Acres Per Treatment,,N/A,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Acre,,N/A,,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD Allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
