Abbreviated District Name,CB,Units/Special,RVHD,Units/Special,RVMD,Units/Special,RCV,Units/Special,ERV,Units/Special,NSV,Units/Special,GCR,Units/Special,GC,Units/Special,RES,Units/Special,RR,Units/Special,RA,Units/Special,IND,Units/Special,INT_NE,Units/Special,INT_SE,Units/Special,INT_NW,Units/Special,INT_SW,Units/Special,FPO,Units/Special,WCO,Units/Special,RCO,Units/Special
Max. Bedrooms,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,N/A,50,Units Per Building,5,Units Per Building,,Units Per Building,5,Units Per Building,5,Units Per Building,10,Units Per Building,10,Units Per Building,,Units Per Building,7,Units Per Building,5,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A,,Units Per Building,,N/A,,Units Per Building,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,,,No,,No,,No,,No,,,,No,,No,,,,,,No,,No,,,,,,,,,
Elderly Housing Only,No,,No,,No,,,,No,,No,,No,,No,,,,No,,No,,,,,,No,,No,,,,,,,,,
Minimum Lot Size (acres),0.13,Acres Per Treatment,0.23 acres; 0.07/dwelling unit,Alternative,0.46 acres; 0.23/dwelling unit,Acres Per Treatment,,Acres Per Treatment,0.23,Acres Per Treatment,0.46 acres; 0.23/dwelling unit,Alternative,0.46 acres; 0.23/dwelling unit,Alternative,0.46 acres; 0.23/dwelling unit,Alternative,,Acres Per Treatment,5 acres; 1/dwelling unit,Alternative,5 acres; 2/dwelling unit,Alternative,,Acres Per Treatment,,Acres Per Treatment,5 acres; +0.5 acres for each addt'l unit over 10 units,Alternative,5 acres; +0.5 acres for each addt'l unit over 10 units,Alternative,,Acres Per Treatment,,N/A,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A,,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,Units Per Acre,,N/A,,N/A,,Units Per Acre,,Units Per Acre,,N/A,,N/A,,Units Per Acre,,N/A,,Units Per Acre,,N/A
Front Setback (ft),10'; may be as close to front as building on adjacent lots,Contextual,10'; may be as close to front as buildings on adjacent lots,Contextual,40,Feet,,Feet,30,Feet,40,Feet,50,Feet,50,Feet,,Feet,30,Feet,30,Feet,,Feet,,Feet,60'; 170'/VT Rt 66,Contextual,60'; 170'/VT Rt 66,Contextual,,Feet,,N/A,,Feet,new buildings/additions maintain prevailing setback of immediate area,Contextual
Side Setback (ft),,Feet,10'; may be as close as adjacent building from the property line,Contextual,15,Feet,,Feet,20,Feet,15,Feet,20,Feet,20,Feet,,Feet,30,Feet,30,Feet,,Feet,,Feet,20,Feet,20,Feet,,Feet,,N/A,,Feet,new buildings/additions maintain prevailing setback of immediate area,Contextual
Rear Setback (ft),,Feet,10,Feet,15,Feet,,Feet,30,Feet,15,Feet,20,Feet,20,Feet,,Feet,30,Feet,30,Feet,,Feet,,Feet,20,Feet,20,Feet,,Feet,,N/A,,Feet,new buildings/additions maintain prevailing setback of immediate area,Contextual
Frontage (ft),40,Feet,40,Feet,50,Feet,,Feet,100,Feet,50,Feet,100,Feet,100,Feet,,Feet,200,Feet,200,Feet,,Feet,,Feet,80'/lots<1 acre; 150'/1-3 acre lots; 200'/3+ acre lots,Alternative,80'/lots<1 acre; 150'/1-3 acre lots; 200'/3+ acre lots,Alternative,,Feet,,N/A,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,Percent,,Percent,8,Percent,8,Percent,,Percent,,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),100,Percent,70,Percent,50,Percent,,Percent,75,Percent,50,Percent,70,Percent,70,Percent,,Percent,15,Percent,15,Percent,,Percent,,Percent,24,Percent,24,Percent,,Percent,,N/A,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max. Stories,,N/A,,N/A,,N/A,,Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,N/A,,Stories,,Stories,,N/A,,N/A,,Stories,,N/A,,Stories,,N/A
Max. Height (ft),50'; may be as high as adjacent buildings,Contextual,40,Feet,35,Feet,,Feet,35,Feet,35,Feet,40,Feet,40,Feet,,Feet,35,Feet,35,Feet,,Feet,,Feet,35,Feet,35,Feet,,Feet,,N/A,,Feet,height of new principal structure must be w/in 5' of surrounding; addition no more than 5' higher than principal structure or surrounding,Contextual
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,Ratio,,Ratio,,N/A,,N/A,,Ratio,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,Square Feet,,Square Feet,,N/A,,N/A,,Square Feet,,N/A,,Square Feet,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,N/A,50,Units Per Building,5,Units Per Building,,Units Per Building,5,Units Per Building,5,Units Per Building,10,Units Per Building,10,Units Per Building,,Units Per Building,7,Units Per Building,5,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A,,Units Per Building,,N/A,,Units Per Building,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Acre,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,N/A
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Renter Occupancy Required,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Owner Occupancy Required,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Elderly Housing Only,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,0.23,Acres Per Treatment,0.46,Acres Per Treatment,1,Acres Per Treatment,0.23,Acres Per Treatment,0.46,Acres Per Treatment,0.46,Acres Per Treatment,0.46,Acres Per Treatment,5 acres if water + sewer on site; 1 acre if connected to public water or sewer; 0.46 if public water + sewer,Contextual,5,Acres Per Treatment,5,Acres Per Treatment,,Acres Per Treatment,5,Acres Per Treatment,5,Acres Per Treatment,5,Acres Per Treatment,,Acres Per Treatment,,N/A,,Acres Per Treatment,,N/A
Minimum Parking Spaces,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit,,N/A
Restricted to Only Primary Structure,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Max. ADU Size (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,50,Percent,50,Percent,50,Percent,,Percent,,N/A,,Percent,,N/A
Max. ADU Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A,,Square Feet,,N/A,,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Acre,,N/A
Max. Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD Allowed,Yes,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD requiring land conservation,No,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
