Abbreviated District Name,R1,Units/Special,R2,Units/Special,R4,Units/Special,R7,Units/Special,R12,Units/Special,LN,Units/Special,QCP,Units/Special,SEQ-NRP,Units/Special,SEQ-NRT,Units/Special,SEQ-NR,Units/Special,SEQ-NRN,Units/Special,SEQ-VR,Units/Special,C1,Units/Special,C1-AUTO,Units/Special,C1-AIR,Units/Special,C1-LR,Units/Special,C2,Units/Special,SW,Units/Special,AR,Units/Special,R7-NC,Units/Special,SEQ-VC,Units/Special,IC,Units/Special,AIR,Units/Special,AIR-I,Units/Special,I-O,Units/Special,IA,Units/Special,PR,Units/Special,MU,Units/Special,FPO,Units/Special,TR,Units/Special,SVPO,Units/Special,IHO,Units/Special,TO,Units/Special,UDO,Units/Special,RCO,Units/Special,HBO,Units/Special,HCO,Units/Special,T-3,Units/Special,T-3+,Units/Special,T-4,Units/Special,T-5,Units/Special
Max. Height (ft),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A
3-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,No,,No,,No,,No,,,,No,,No,,,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,,No,,,,,,,,,,,,,,,,No,,No,,No,,No,,No,,No,,,,No,,,,No,,No,,No,,No,
Elderly Housing Only,,,No,,No,,No,,No,,,,No,,No,,,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,,No,,,,,,,,,,,,,,,,No,,No,,No,,No,,No,,No,,,,No,,,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,0.75,Acres Per Treatment,0.41,Acres Per Treatment,0.41,Acres Per Treatment,0.24,Acres Per Treatment,,Acres Per Treatment,0.41,Acres Per Treatment,0.41,Acres Per Treatment,,Acres Per Treatment,0.41,Acres Per Treatment,0.41,Acres Per Treatment,0.41,Acres Per Treatment,C1-R12: 0.24; C1-R15: 0.2,Alternative,0.24,Acres Per Treatment,,Acres Per Treatment,0.24,Acres Per Treatment,0.41,Acres Per Treatment,0.41,Acres Per Treatment,0.24,Acres Per Treatment,0.41,Acres Per Treatment,0.41,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Acres Per Treatment,,N/A,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),,Units Per Acre,2,Units Per Acre,4,Units Per Acre,4,Units Per Acre,12,Units Per Acre,,Units Per Acre,4,Units Per Acre,4,Units Per Acre,,Units Per Acre,4,Units Per Acre,4,Units Per Acre,4,Units Per Acre,C1-R12: 12; C1-R15: 15,Alternative,15,Units Per Acre,,Units Per Acre,12,Units Per Acre,7,Units Per Acre,7,Units Per Acre,12,Units Per Acre,4,Units Per Acre,4,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Acre,,N/A,,Units Per Acre,,N/A,,N/A,,N/A,,N/A
Front Setback (ft),,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,10,Feet,20,Feet,,Feet,20,Feet,20,Feet,20,Feet,30,Feet,30,Feet,,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,20,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,20,Feet,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A
Side Setback (ft),,Feet,10,Feet,10,Feet,10,Feet,10,Feet,,Feet,5,Feet,10,Feet,,Feet,10,Feet,10,Feet,10,Feet,10,Feet,15,Feet,,Feet,10,Feet,10,Feet,10,Feet,10,Feet,10,Feet,10,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,8,Feet,8,Feet,,N/A,,N/A
Rear Setback (ft),,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,10,Feet,30,Feet,,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,20,Feet,20,Feet,,N/A,,N/A
Frontage (ft),,Feet,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,Percent,20,Percent,20,Percent,30,Percent,40,Percent,,Percent,20,Percent,20,Percent,,Percent,20,Percent,20,Percent,20,Percent,40,Percent,40,Percent,,Percent,40,Percent,40,Percent,30,Percent,40,Percent,30,Percent,20,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,40,Percent,40,Percent,40,Percent,60,Percent,,Percent,40,Percent,40,Percent,,Percent,40,Percent,40,Percent,40,Percent,70,Percent,70,Percent,,Percent,70,Percent,70,Percent,40,Percent,70,Percent,40,Percent,40,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,Percent,75,Percent,75,Percent,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,N/A,,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,N/A,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit
Connection to Sewer and/or Water Required,,,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,Yes,,Yes,,Yes,,Yes,
Connection or Proximity to Public Transit Required,,,No,,No,,No,,No,,,,No,,No,,,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,,No,,,,,,,,,,,,,,,,No,,No,,No,,No,,No,,No,,,,No,,,,No,,No,,No,,No,
Max. Stories,,Stories,4,Stories,4,Stories,4,Stories,,N/A,,Stories,4,Stories,4,Stories,,Stories,4,Stories,4,Stories,4,Stories,5,Stories,5,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,4,Stories,4,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,Stories,2.5,Stories,3.5,Stories,5,Stories,6,Stories
Max. Height (ft),,Feet,,N/A,,N/A,,N/A,40,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,40,Feet,40,Feet,40,Feet,40,Feet,,N/A,,N/A,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,No,,No,,No,,,,No,,No,,,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,,No,,,,,,,,,,,,,,,,No,,No,,No,,No,,No,,No,,,,No,,,,No,,No,,No,,No,
Elderly Housing Only,,,No,,No,,No,,No,,,,No,,No,,,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,,No,,,,,,,,,,,,,,,,No,,No,,No,,No,,No,,No,,,,No,,,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,1,Acres Per Treatment,0.55,Acres Per Treatment,0.55,Acres Per Treatment,0.32,Acres Per Treatment,,Acres Per Treatment,0.55,Acres Per Treatment,0.55,Acres Per Treatment,,Acres Per Treatment,0.55,Acres Per Treatment,0.55,Acres Per Treatment,0.55,Acres Per Treatment,C1-R12: 0.32; C1-R15: 0.27,Alternative,0.32,Acres Per Treatment,,Acres Per Treatment,0.32,Acres Per Treatment,0.55,Acres Per Treatment,0.55,Acres Per Treatment,0.32,Acres Per Treatment,0.55,Acres Per Treatment,0.55,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Acres Per Treatment,,N/A,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),,Units Per Acre,2,Units Per Acre,4,Units Per Acre,4,Units Per Acre,12,Units Per Acre,,Units Per Acre,4,Units Per Acre,4,Units Per Acre,,Units Per Acre,4,Units Per Acre,4,Units Per Acre,4,Units Per Acre,C1-R12: 12; C1-R15: 15,Alternative,15,Units Per Acre,,Units Per Acre,12,Units Per Acre,7,Units Per Acre,7,Units Per Acre,12,Units Per Acre,4,Units Per Acre,4,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Acre,,N/A,,Units Per Acre,,N/A,,N/A,,N/A,,N/A
Front Setback (ft),,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,10,Feet,20,Feet,,Feet,20,Feet,20,Feet,20,Feet,30,Feet,30,Feet,,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,20,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,20,Feet,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A
Side Setback (ft),,Feet,10,Feet,10,Feet,10,Feet,10,Feet,,Feet,5,Feet,10,Feet,,Feet,10,Feet,10,Feet,10,Feet,10,Feet,15,Feet,,Feet,10,Feet,10,Feet,10,Feet,10,Feet,10,Feet,10,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,8,Feet,8,Feet,,N/A,,N/A
Rear Setback (ft),,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,10,Feet,30,Feet,,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,20,Feet,20,Feet,,N/A,,N/A
Frontage (ft),,Feet,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,Percent,20,Percent,20,Percent,30,Percent,40,Percent,,Percent,20,Percent,20,Percent,,Percent,20,Percent,20,Percent,20,Percent,40,Percent,40,Percent,,Percent,40,Percent,40,Percent,30,Percent,40,Percent,30,Percent,20,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,40,Percent,40,Percent,40,Percent,60,Percent,,Percent,40,Percent,40,Percent,,Percent,40,Percent,40,Percent,40,Percent,70,Percent,70,Percent,,Percent,70,Percent,70,Percent,40,Percent,70,Percent,40,Percent,40,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,Percent,75,Percent,75,Percent,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,N/A,,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit,0.75,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,N/A,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit
Connection to Sewer and/or Water Required,,,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,Yes,,Yes,,Yes,,Yes,
Connection or Proximity to Public Transit Required,,,No,,No,,No,,No,,,,No,,No,,,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,,No,,,,,,,,,,,,,,,,No,,No,,No,,No,,No,,No,,,,No,,,,No,,No,,No,,No,
Max. Stories,,Stories,4,Stories,4,Stories,4,Stories,,N/A,,Stories,4,Stories,4,Stories,,Stories,4,Stories,4,Stories,4,Stories,5,Stories,5,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,4,Stories,4,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,Stories,2.5,Stories,3.5,Stories,5,Stories,6,Stories
Max. Height (ft),,Feet,,N/A,,N/A,,N/A,40,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,40,Feet,40,Feet,40,Feet,40,Feet,,N/A,,N/A,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,N/A,,Units Per Building,,N/A,,N/A,,N/A,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,No,,No,,No,,,,No,,No,,,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,,No,,,,,,,,,,,,,,,,No,,No,,No,,No,,No,,No,,,,No,,,,No,,No,,No,,No,
Elderly Housing Only,,,No,,No,,No,,No,,,,No,,No,,,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,,No,,,,,,,,,,,,,,,,No,,No,,No,,No,,No,,No,,,,No,,,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,1.25,Acres Per Treatment,0.69,Acres Per Treatment,0.69,Acres Per Treatment,0.4,Acres Per Treatment,,Acres Per Treatment,0.69,Acres Per Treatment,0.69,Acres Per Treatment,,Acres Per Treatment,0.69,Acres Per Treatment,0.69,Acres Per Treatment,0.69,Acres Per Treatment,C1-R12: 0.4; C1-R15: 0.33,Alternative,0.4,Acres Per Treatment,,Acres Per Treatment,0.4,Acres Per Treatment,0.69,Acres Per Treatment,0.69,Acres Per Treatment,0.4,Acres Per Treatment,0.69,Acres Per Treatment,0.68,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Acres Per Treatment,,N/A,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),,Units Per Acre,2,Units Per Acre,4,Units Per Acre,4,Units Per Acre,12,Units Per Acre,,Units Per Acre,4,Units Per Acre,4,Units Per Acre,,Units Per Acre,4,Units Per Acre,4,Units Per Acre,4,Units Per Acre,C1-R12: 12; C1-R15: 15,Alternative,15,Units Per Acre,,Units Per Acre,12,Units Per Acre,7,Units Per Acre,7,Units Per Acre,12,Units Per Acre,4,Units Per Acre,4,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Acre,,N/A,,Units Per Acre,,N/A,,N/A,,N/A,,N/A
Front Setback (ft),,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,10,Feet,20,Feet,,Feet,20,Feet,20,Feet,20,Feet,30,Feet,30,Feet,,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,20,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,20,Feet,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A
Side Setback (ft),,Feet,10,Feet,10,Feet,10,Feet,10,Feet,,Feet,5,Feet,10,Feet,,Feet,10,Feet,10,Feet,10,Feet,10,Feet,15,Feet,,Feet,10,Feet,10,Feet,10,Feet,10,Feet,10,Feet,10,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,8,Feet,8,Feet,,N/A,,N/A
Rear Setback (ft),,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,10,Feet,30,Feet,,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,20,Feet,20,Feet,,N/A,,N/A
